,Gen,PV,Wind,P2H,Sto,re_fraction,ex_el_fraction,ex_heat_fraction,p2h_heat_fraction,total_co2,energy_cost,system_anpv,total_system_costs
1043,27,0.0013024829370760216,2.512216845254571,3.1587260055805473,1.6626105749869242,0.009785010494836545,0.9902149895051635,0.9942148772564434,0.005785122743556581,248.97955469485873,22019.708015261924,6437.7228263466195,28457.430841608544
1044,27,65.15092490908998,304.51069852726056,137.30433368277068,137.93742089637695,0.7383199514853369,0.2616800485146629,0.627659691757106,0.372340308242894,102.99841651618611,2155.408989325815,109637.82876138488,111793.2377507107
1045,27,272.6653633174232,399.27248829651813,122.45977078545332,394.2986396897177,0.8888488545584214,0.11115114544157874,0.5106398813371591,0.4893601186628409,62.94409388040101,-7959.983777616617,176691.2014430987,168731.21766548208
1046,27,113.45507877685463,253.21009499174613,86.88812950136935,129.84168190394894,0.7339578672123839,0.26604213278761624,0.7270608734970854,0.27293912650291463,108.24489820401342,3760.957462719664,101116.68532997703,104877.6427926967
1047,27,149.29397131297426,342.68697972074636,97.42454318698447,389.57242723061074,0.8400739723031947,0.1599260276968051,0.6209546312896295,0.37904536871037053,80.33019484270447,-2526.8411345955715,141246.60339868595,138719.7622640904
1048,27,23.21644518150631,49.89685156695382,122.81685510855371,6.198856441674289,0.20995991031503197,0.7900400896849679,0.8859339302772412,0.11406606972275879,214.89741546837334,18252.092896353624,25793.811118777925,44045.90401513155
1049,27,57.440194875542296,133.35657410060855,9.502178405284003,1.818794113356498,0.4999691810946507,0.5000308189053495,0.9603583155234502,0.03964168447654981,160.9424040986479,12132.592516138606,52604.66312571884,64737.255641857446
1050,27,0.06566804263765924,2.1168687402428077,3.1101536216717243,19.593045942293756,0.007983012531216258,0.9920169874687838,0.9942961007248597,0.005703899275140256,249.29801070942136,22011.238381852174,6953.090843924062,28964.329225776237
1051,27,71.50994457494878,165.61735484638365,39.88889258720481,119.00031497971662,0.597711785033747,0.4022882149662529,0.8735702792820503,0.12642972071794967,140.70394303544285,9592.739563348832,68539.79636944679,78132.53593279562
1052,27,12.510618685439095,168.53166282021374,36.03428427142055,332.12239240243355,0.5546564169835326,0.4453435830164674,0.8866105716055244,0.11338942839447563,149.26597299401425,10108.54484857902,67732.38127293815,77840.92612151717
1053,27,58.8142801797721,168.205394340076,42.57808577676399,4.273903436564993,0.5690295408916525,0.43097045910834747,0.8636579069082189,0.13634209309178114,145.95970242092247,10128.390865564768,63442.259679970404,73570.65054553517
1054,27,27.215929547242908,23.575429818343345,0.4197277859615145,295.6929461533796,0.1271540688468726,0.8728459311531274,0.9991453901789344,0.000854609821065555,227.9194608379805,19323.676094243914,26677.539381458402,46001.215475702316
1055,27,272.6653633174232,399.65825997426884,122.45977078545332,397.29248538605253,0.8892299983285001,0.11077000167150014,0.5101504240495248,0.4898495759504752,62.82603488838142,-7984.38336278869,176904.74108473025,168920.35772194157
1056,27,6.8441267798717575,1.2648922681615247,3.6339536228026486,22.83869185483693,0.014628793597485432,0.9853712064025146,0.9934305984318914,0.0065694015681085904,248.14419781037753,21891.191772407365,7857.590668729502,29748.782441136867
1057,27,101.975042992004,122.11280419521235,8.907916906400978,125.21970766355058,0.5498500620374651,0.4501499379625349,0.966506938288741,0.03349306171125899,151.99480325895684,11442.601520730435,60388.64368196837,71831.2452026988
1058,27,178.38752876412812,307.6881057609987,86.85099489104135,31.577240826944376,0.7779646973185433,0.22203530268145671,0.6700972312356247,0.3299027687643753,96.34945301909744,-568.957736911607,123103.17162223038,122534.21388531878
1059,27,27.215929547242908,23.575429818343345,0.4197277859615145,5.482177892094327,0.13219068148020346,0.8678093185197966,0.9990536550154874,0.0009463449845126259,227.0257889369955,20019.867092986333,16652.981222090795,36672.84831507713
1060,27,4.215077483010152,372.17763711549685,1.1427655079337242,3.2517141134949985,0.7019188934973455,0.29808110650265474,0.9898062425392363,0.010193757460763675,125.31787617828701,-2772.714615488871,112621.55623767253,109848.84162218365
1061,27,29.714191472337163,254.1421429659036,84.83797997182981,27.960838136307775,0.6570090532400182,0.3429909467599818,0.7401426518308774,0.25985734816912265,124.71119358086088,5690.987870227618,85149.52759645467,90840.5154666823
